rank,player_name,composite_score
1,RN ten Doeschate,1.9261
2,V Kohli,1.9
3,ML Hayden,1.8344
4,AC Voges,1.7638
5,Milind Kumar,1.7422
6,MEK Hussey,1.7302
7,JE Root,1.7301
8,A Symonds,1.7134
9,Babar Azam,1.7127
10,KS Williamson,1.7086
11,HC Brook,1.6958
12,JH Kallis,1.6789
13,KP Pietersen,1.6688
14,YBK Jaiswal,1.6681
15,DA Warner,1.6631
16,HM Amla,1.6616
17,SV Samson,1.6589
18,Mohammad Rizwan,1.6555
19,MS Dhoni,1.6425
20,AB de Villiers,1.6421
21,KC Sangakkara,1.6388
22,Shubman Gill,1.636
23,DJ Mitchell,1.6303
24,KL Rahul,1.6297
25,SR Mukkamalla,1.6214
26,Misbah-ul-Haq,1.6193
27,RG Sharma,1.6125
28,DP Conway,1.6053
29,TM Head,1.605
30,F du Plessis,1.5984
31,DA Miller,1.5971
32,BC Lara,1.592
33,RT Ponting,1.5904
34,MK Pandey,1.5852
35,Q de Kock,1.5848
36,Ibrahim Zadran,1.5817
37,Mohammad Yousuf,1.5795
38,SPD Smith,1.573
39,Anshuman Rath,1.57
40,RR Rossouw,1.5697
41,SS Iyer,1.5652
42,AM Tribe,1.5648
43,GC Smith,1.563
44,HG Munsey,1.5596
45,P Nissanka,1.5564
46,BM Duckett,1.5546
47,IA Karim,1.5516
48,Ishan Kishan,1.5499
49,A Bagai,1.5461
50,LRPL Taylor,1.5431
51,AJ Finch,1.5426
52,DM Jones,1.5393
53,DJ Malan,1.5364
54,Inzamam-ul-Haq,1.532
55,S Dhawan,1.5304
56,Abid Ali,1.5269
57,B McMullen,1.5248
58,MW Machan,1.5181
59,JM Bairstow,1.5152
60,GD Phillips,1.5137
61,R Dravid,1.5128
62,DR Martyn,1.5122
63,DPMD Jayawardene,1.5119
64,PD Salt,1.5078
65,DS Lehmann,1.5008
66,JC Buttler,1.4986
67,Saeed Anwar,1.498
68,V Sehwag,1.4968
69,AA Jangoo,1.4903
69,AK Markram,1.4903
71,BB McCullum,1.489
71,TM Dilshan,1.489
73,R Ravindra,1.4885
74,UT Khawaja,1.4879
75,AC Gilchrist,1.4867
76,BJ Bennett,1.4846
77,AD Hales,1.4841
78,HE van der Dussen,1.4836
79,G Kirsten,1.4812
80,AD Mathews,1.4811
81,A Flower,1.481
82,PP Shaw,1.4806
83,CH Gayle,1.4771
84,VG Kambli,1.4745
85,Imam-ul-Haq,1.4718
86,Salman Agha,1.4699
87,JP Duminy,1.4678
88,IJL Trott,1.4665
89,BJ Hodge,1.4657
90,RD Gaikwad,1.4621
91,SC Ganguly,1.462
92,MJ Clarke,1.4618
93,G Gambhir,1.4612
94,Aqib Ilyas,1.4571
95,ME Trescothick,1.4567
96,SR Watson,1.4557
97,EJG Morgan,1.4538
98,MG Erasmus,1.4524
99,E Lewis,1.4506
100,Fakhar Zaman,1.4496
101,C Green,1.4484
