player_name,psi_log_econ,psi_log_avg,psi_combined,rank
IG Holland,-0.21114195123584595,-0.24105562107942224,0.23108439779823012,1
BJ Currie,-0.11281275606212479,-0.2709504483092183,0.21823788422685378,2
GJ Gilmour,-0.0273301561736113,-0.28470043270375767,0.19891034052704223,3
J Garner,-0.1621302043013106,-0.21192250196949933,0.19532506941343641,4
JA Snow,-0.19779587625785747,-0.19229725708857492,0.19413013014500244,5
AG Hurst,-0.18948395895559245,-0.178487922674996,0.18215326810186147,6
AH Gray,-0.0660872082152509,-0.23900573005387035,0.18136622277433054,7
AC Botha,-0.10365689408156145,-0.2137989816420775,0.1770849524552388,8
M Hendrick,-0.19252654321304688,-0.16816431736830584,0.17628505931655283,9
GG Arnold,-0.18506491471509007,-0.16663301723863136,0.1727769830641176,10
JJ Bumrah,-0.15946825554526656,-0.17417562730445835,0.16927317005139442,11
CEL Ambrose,-0.15153081109401864,-0.1628465651421394,0.15907464712609917,12
S Lamichhane,-0.050281141661888774,-0.21000210512187992,0.15676178396854953,13
ST Clarke,-0.154970671476684,-0.15515627870685725,0.15509440963013285,14
Shakeel Ahmed,-0.13419978290531556,-0.165277616477941,0.1549183386203992,15
DL Underwood,-0.18948881478349314,-0.13665443976310687,0.15426589810323563,16
Sir RJ Hadlee,-0.12238741001199595,-0.16892510317240483,0.15341253878560188,17
RL Johnson,-0.044179330053517256,-0.20715630574900729,0.15283064718384395,18
AY Patel,-0.08427894961789342,-0.18249562826952165,0.14975673538564557,19
CEH Croft,-0.07864622985768494,-0.1850280404997065,0.149567436952366,20
Saeed Ajmal,-0.12442112138975621,-0.1566620043192827,0.14591504334277386,21
Kuldeep Yadav,-0.019625137594142736,-0.20796241028434248,0.14518331938760923,22
GD McGrath,-0.136865148576346,-0.14346303742188732,0.14126374114004023,23
MA Holding,-0.10146795790000145,-0.15664518348333564,0.13825277495555757,24
JA Duffy,-0.08542532625105836,-0.1633807193871207,0.1373955883417666,25
VD Philander,-0.09648280589515427,-0.1560992497136354,0.13622710177414168,26
PP Ojha,-0.1138440101680282,-0.14277958218815107,0.13313439151477677,27
DK Lillee,-0.08161940110082169,-0.15643211990687866,0.13149454697152632,28
AME Roberts,-0.09449511525977386,-0.14882715987576445,0.1307164783371009,29
M Muralidaran,-0.12641801174420114,-0.13249316904952432,0.1304681166144166,30
A Mishra,-0.057240071930632255,-0.16341139716843228,0.12802095542249894,31
Rashid Khan,-0.056844158126831267,-0.16308245225405546,0.12766968754498073,32
XC Bartlett,-0.014779909011847768,-0.18320611056156857,0.1270640433783283,33
RJ Harris,-0.05607074642355362,-0.1624713243202312,0.1270044650213387,34
AIC Dodemaide,-0.11880176407403047,-0.13026938573897626,0.12644684518399432,35
AA Donald,-0.002136215734678311,-0.18852181413053676,0.12639328133191727,36
MHN Walker,-0.19153131330141293,-0.09241040749173368,0.12545070942829342,37
G Dymock,-0.1668017906980158,-0.10463555675017762,0.12535763473279035,38
GP Swann,-0.07063966537824962,-0.15266749492834017,0.12532488507831,39
BAW Mendis,-0.03337657874916724,-0.16917823999693277,0.12391101958101092,40
Ehsan Khan,-0.06080276251378277,-0.15380450270776308,0.12280392264310297,41
MD Marshall,-0.09650444483354804,-0.13536143120704075,0.1224091024158765,42
BM Scholtz,-0.12842338141937093,-0.11923486997396812,0.12229770712243572,43
