rank,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
1,GC Smith,0.8829272911270769,0.2347487623854923,0.6668677815465487,4
2,A Symonds,0.7722099923845548,0.3232141402928372,0.6225447083539822,7
3,JH Kallis,0.8115397276372246,0.1102660439253222,0.5777818330665905,11
4,Sarfaraz Ahmed,0.6864895539117809,0.2231349756723157,0.5320380278319592,18
5,V Kohli,0.6924901459397684,0.1686748747908738,0.5178850555568035,19
6,C Green,0.6674227815187058,0.1443464202283644,0.4930639944219253,23
7,Shahid Afridi,0.4985235396755972,0.4545624541067438,0.4838698444859794,27
8,TM Dilshan,0.6176124205968305,0.2152413481401673,0.4834887297779428,28
9,KP Pietersen,0.6041776870163972,0.2306596822721498,0.4796716854349814,29
10,AB de Villiers,0.5920547092327647,0.2254369378823831,0.4698487854493041,31
11,HM Amla,0.6124321651998402,0.168999116255962,0.4646211488852141,33
12,MS Dhoni,0.5945261253244355,0.1958182655120418,0.4616235053869709,35
13,SR Watson,0.5761451196831185,0.2024226465693831,0.45157096197854,38
14,Shoaib Malik,0.5941889217294835,0.1378562627532237,0.4420780354040636,43
15,BJ Hodge,0.5826256747151812,0.1554573783020012,0.4402362425774546,44
16,F du Plessis,0.5783704063516754,0.1529141906659234,0.436551667789758,46
17,ML Hayden,0.5610109624382801,0.1860848903733617,0.4360356050833072,47
18,RT Ponting,0.5579044577707126,0.1827937303207729,0.4328675486207327,48
19,AD Mathews,0.5920996197766485,0.0922352978153928,0.4254781791228966,53
20,JE Root,0.5710677967045199,0.1174222032355166,0.4198525988815187,57
21,LRPL Taylor,0.5288911798662719,0.1730243903415388,0.4102689166913608,65
22,V Sehwag,0.4386049368910615,0.3441499904444994,0.4071199547422075,70
23,KS Williamson,0.5670112572340436,0.0804681798263814,0.4048302314314895,72
24,Abdul Razzaq,0.5493595611230694,0.1053513479494566,0.4013568233985318,73
25,A Flintoff,0.4803822346142042,0.2430227605590128,0.4012624099291404,74
26,MN Waller,0.5235335220387997,0.1450771441729494,0.3973813960835162,79
27,OA Shah,0.5493036503896269,0.0935267958522924,0.3973780322105154,80
28,Babar Azam,0.5479449833211859,0.0924182074606457,0.3961027247010058,82
29,MR Marsh,0.4986809854008825,0.1782923268362495,0.3918847658793382,85
30,HC Brook,0.4585067382634658,0.2576960450731799,0.3915698405333705,86
31,DPMD Jayawardene,0.5133119847455184,0.1473997057363112,0.3913412250757827,87
