rank,player_name,psi_log_econ,psi_log_avg,psi_combined,rank
1,JJ Bumrah,-0.1594682555452665,-0.1741756273044583,0.1692731700513944,11
2,Saeed Ajmal,-0.1244211213897562,-0.1566620043192827,0.1459150433427738,21
3,Kuldeep Yadav,-0.0196251375941427,-0.2079624102843424,0.1451833193876092,22
4,JA Duffy,-0.0854253262510583,-0.1633807193871207,0.1373955883417666,25
5,PP Ojha,-0.1138440101680282,-0.142779582188151,0.1331343915147767,27
6,M Muralidaran,-0.1264180117442011,-0.1324931690495243,0.1304681166144166,30
7,A Mishra,-0.0572400719306322,-0.1634113971684322,0.1280209554224989,31
8,Rashid Khan,-0.0568441581268312,-0.1630824522540554,0.1276696875449807,32
9,GP Swann,-0.0706396653782496,-0.1526674949283401,0.12532488507831,39
10,BAW Mendis,-0.0333765787491672,-0.1691782399969327,0.1239110195810109,40
11,AR Patel,-0.1012489050133848,-0.1285301066667808,0.1194363727823155,44
12,TJ Murtagh,-0.1445071639721915,-0.0944194472047775,0.1111153527939155,49
13,SE Bond,-0.0269876080226075,-0.1531771655054674,0.1111139796778474,50
14,SM Pollock,-0.1048709968836835,-0.1100175957095538,0.108302062767597,52
15,JR Hazlewood,-0.1103853142035096,-0.0999529190276315,0.1034303840862576,56
16,SR Clark,-0.0856499291005406,-0.1116967185727004,0.1030144554153138,57
17,Junaid Khan,-0.0327941165857152,-0.1353487164557459,0.1011638498324023,62
18,SP Narine,-0.1324334211325626,-0.0749379763095686,0.0941031245838999,76
19,AL Phehlukwayo,0.0446286016934177,-0.1575683024974644,0.090169334433837,82
20,PJ Cummins,-0.0825050475968673,-0.0935025394000521,0.0898367087989905,85
21,B Kumar,-0.0864666490925501,-0.0894952971088803,0.0884857477701036,88
22,Amir Hamza,-0.1133885420197866,-0.0752499164816962,0.0879627916610597,89
23,R Ashwin,-0.0619613553327259,-0.0958794574868611,0.0845734234354827,92
24,HMRKB Herath,-0.0775501818990027,-0.0859260564841359,0.0831340982890915,95
25,KJ Abbott,-0.1002801562897445,-0.068677135395823,0.0792114756937968,98
26,Abrar Ahmed,-0.0350662421670597,-0.0939184314380788,0.0743010350144058,104
27,TA Boult,-0.0186085069021409,-0.1007227645869196,0.0733513453586601,106
28,Washington Sundar,-0.0802064179522826,-0.0697761772298086,0.0732529241372999,107
29,Shakib Al Hasan,-0.0331732865837176,-0.0929788686186851,0.0730436746070292,109
30,Mohammad Amir,-0.0784532221167344,-0.0692939994715185,0.0723470736865904,110
31,Abdur Rehman,-0.0811079156413991,-0.060017599057339,0.067047704585359,123
32,TL Chatara,-0.1313342979206331,-0.0322881103287859,0.065303506192735,128
33,Imran Khan,-0.0504203226950846,-0.0726814336526834,0.0652610633334838,129
34,DW Steyn,0.0047013170526332,-0.0964752710152672,0.0627497416593003,133
35,MG Johnson,0.0202328028937821,-0.0995265175164615,0.0596067440463803,139
36,Mohammad Hafeez,-0.089104457301451,-0.0446995390203513,0.0595011784473845,140
37,L Ngidi,-0.0160343304156545,-0.0802569427626781,0.0588494053136702,141
38,MA Starc,0.0287185787542023,-0.0963274523527867,0.0546454419837903,152
39,B Muzarabani,-0.0788869363992315,-0.0409289649634781,0.0535816221087292,156
40,MJ Henry,-0.0284673316836232,-0.066111886310015,0.0535637014345511,157
41,Umar Gul,-0.008656306346367,-0.0757288721950635,0.053371350245498,159
42,JC Archer,-0.076416784150029,-0.040872041033894,0.0527202887392724,162
43,K Rabada,-0.035408094432774,-0.058253457232515,0.050638336299268,171
44,RJ Sidebottom,-0.015940791501179,-0.0670153669953621,0.0499905084973011,173
45,Imran Tahir,0.0181288994916293,-0.0839939005965346,0.0499529672338132,174
46,SCJ Broad,-0.043582460509797,-0.0531237396372367,0.0499433132614235,175
