rank,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
1,GC Smith,0.8829272911270769,0.2347487623854923,0.6668677815465487,4
2,Sarfaraz Ahmed,0.6864895539117809,0.2231349756723157,0.5320380278319592,18
3,V Kohli,0.6924901459397684,0.1686748747908738,0.5178850555568035,19
4,Shahid Afridi,0.4985235396755972,0.4545624541067438,0.4838698444859794,27
5,TM Dilshan,0.6176124205968305,0.2152413481401673,0.4834887297779428,28
6,KP Pietersen,0.6041776870163972,0.2306596822721498,0.4796716854349814,29
7,AB de Villiers,0.5920547092327647,0.2254369378823831,0.4698487854493041,31
8,HM Amla,0.6124321651998402,0.168999116255962,0.4646211488852141,33
9,MS Dhoni,0.5945261253244355,0.1958182655120418,0.4616235053869709,35
10,SR Watson,0.5761451196831185,0.2024226465693831,0.45157096197854,38
11,Shoaib Malik,0.5941889217294835,0.1378562627532237,0.4420780354040636,43
12,F du Plessis,0.5783704063516754,0.1529141906659234,0.436551667789758,46
13,AD Mathews,0.5920996197766485,0.0922352978153928,0.4254781791228966,53
14,JE Root,0.5710677967045199,0.1174222032355166,0.4198525988815187,57
15,LRPL Taylor,0.5288911798662719,0.1730243903415388,0.4102689166913608,65
16,KS Williamson,0.5670112572340436,0.0804681798263814,0.4048302314314895,72
17,Babar Azam,0.5479449833211859,0.0924182074606457,0.3961027247010058,82
18,MR Marsh,0.4986809854008825,0.1782923268362495,0.3918847658793382,85
19,HC Brook,0.4585067382634658,0.2576960450731799,0.3915698405333705,86
20,DPMD Jayawardene,0.5133119847455184,0.1473997057363112,0.3913412250757827,87
21,Misbah-ul-Haq,0.5614635074868354,0.0347804295402073,0.3859024815046261,91
22,RG Sharma,0.4920646800440909,0.1656855139742783,0.3832716246874867,93
23,Mohammad Hafeez,0.5036070479233213,0.1297109343506211,0.3789750100657545,99
24,Mohammad Rizwan,0.5105205326770179,0.0791294417821043,0.3667235023787134,114
25,KL Rahul,0.4925026479405873,0.113636367859501,0.3662138879135586,115
26,Sikandar Raza,0.4723665943518391,0.1411903359111253,0.3619745082049345,119
27,Shubman Gill,0.4667796191023629,0.150794415244662,0.3614512178164626,120
28,MN Samuels,0.4960678486330305,0.079725116914046,0.3572869380600357,121
29,DJ Mitchell,0.4726984301688625,0.1239183217543851,0.3564383940307034,122
30,BB McCullum,0.4124990105488663,0.2246392367389834,0.349879085945572,128
31,MEK Hussey,0.4609930917733042,0.1197462952963286,0.3472441596143124,132
32,SPD Smith,0.4645405065228663,0.1039890112463216,0.3443566747640181,137
33,Yuvraj Singh,0.4015187694903826,0.1994156061604874,0.3341510483804175,147
34,KC Sangakkara,0.4464465453239529,0.1090117776780806,0.3339682894419954,148
35,Mahmudullah,0.4508383635365297,0.0900291913012214,0.3305686394580936,153
36,JM Bairstow,0.3969700976235977,0.1825465238433393,0.3254955730301783,163
37,JO Holder,0.4033724878561712,0.1679221038503961,0.3248890265209128,164
38,JC Buttler,0.3757382927642989,0.2033408320115161,0.3182724725133714,173
39,JP Duminy,0.4320794660857164,0.0841697366087809,0.3161095562600713,174
40,DA Warner,0.3551477596258126,0.204256708727364,0.3048507426596631,184
41,P Nissanka,0.4059813280693516,0.0786300239957139,0.2968642267114723,199
42,RL Chase,0.4038058754898443,0.0463834659980028,0.2846650723258971,219
43,AK Markram,0.3405838722221181,0.1560920160060509,0.2790865868167624,229
44,H Masakadza,0.3877446360589446,0.0521962562886417,0.2758951761355103,231
45,CH Gayle,0.3068565736954592,0.1844850891694566,0.2660660788534584,250
46,MJ Guptill,0.3498187584774161,0.0897022658849645,0.263113260946599,254
47,Shakib Al Hasan,0.3274825449343153,0.1226960987467443,0.259220396205125,256
